index,product,name,mrp_now,price_now,star1,star2,star3,star4,star5,mrp_then,price_then
127,facemasks,CARE VIEW N95 FFP2 Protective Face Mask with Head Band Strap- (Pack of 3),597.0,327.0,0.0,0.0,0.0,0.0,0.0,,
128,facemasks,I'm Unique Full Face Dust Proof Mask For Bike|Cycle Balaclava Men - melangegreyblackgrey,499.0,199.0,0.0,0.0,0.0,0.0,0.0,,
129,facemasks,"Khadi Essentials Pure&Safe 5 Layered Reusable Washable N95 Face Mask with Activated Carbon Layer and Melt Blown Fabric For PM 2.5, Protection from Harmful Germs, Bacteria and Virus (Pack of 2)",599.0,479.0,0.0,0.0,0.0,0.0,0.0,,
130,facemasks,Vega Balaclava Head/Face Protection Mask,0.0,198.0,0.0,0.0,0.0,0.0,0.0,,
131,facemasks,"Lionsmill New Anti-Pollution Dust polyester face Mask For kids Boys Girls Unisex (Set Of 4) Multicolor cartoon masks (mix color 2, kids size)",498.0,235.0,0.0,0.0,0.0,0.0,0.0,,
132,facemasks,RSM Printed Cotton Face Mask 3 Layers Washable and Reusable Fabric Mask with Melt Blown Filter - Pack of 5,399.0,279.0,0.0,0.0,0.0,0.0,0.0,,
133,facemasks,Godrej Protekt P-W95 Reusable Face Mask | for Men & Women | 6 Layer Germ Shield Technology | Design: White Aqua | Size: LARGE,240.0,220.0,0.0,0.0,0.0,0.0,0.0,,
134,facemasks,"Swadesi Stuff N95 Filter Multi Color Face Mask, Reusable, Washable CE & ISO Certified to Protect Mouth Droplets, Dust and Pollution, Pack of 5 Mask",1499.0,449.0,0.0,0.0,0.0,0.0,0.0,,
135,facemasks,Rorec Korean Paper Face Sheet Mask Combo for Face Brightening,800.0,0.0,0.0,0.0,0.0,0.0,0.0,,
136,facemasks,"Buildskill B02FS01 Multipurpose Reusable Polycarbonate Safety Face Shield, Transparent Face Mask, Protective Splash Face Mask, Clear Visor Windproof Dustproof with Elastic Band (Pack of 2)",0.0,199.0,0.0,0.0,0.0,0.0,0.0,,
137,facemasks,"Brats N Beauty -Winter Warm Unisex Biker Motorcycle Face Mask Neck Scarf Headwear,Balaclava Sport Motorcycle Windproof Face Mask Hat Neck Helmet Beanies For Men & Women Black, Blue, Grey",750.0,0.0,0.0,0.0,0.0,0.0,0.0,,
138,facemasks,"Tri-Activ 6 Layer Protective Face Masks, PM2.5 / N95 Tested as per NIOSH standard, Anti-Virus Coating, 99.5% Filtration Efficiency, Reusable, (Black mask)",0.0,149.0,0.0,0.0,0.0,0.0,0.0,,
139,facemasks,ALI CREATION 100% Cotton A95 3D Reusable Washable 4-Layer Anti-Pollution -Bike Rider-Anti-Bacterial -Cotton Mask-Face Mask (without Valve) (Pack Of 1),299.0,0.0,0.0,0.0,0.0,0.0,0.0,,
140,facemasks,V Enterprises Made in India Universal Size Face Masks for Outdoor Protection. Reusable and Washable,600.0,0.0,0.0,0.0,0.0,0.0,0.0,,
141,facemasks,"Shaila's Couture Reusable Face Mask with Nose Clip, Filter Pocket (FILTER NOT INCLUDED) and Earloop Adjusters - Soft, Washable, UNISEX, Adult (PACK OF 3) (Black, Grey, Navy Blue)",799.0,349.0,0.0,0.0,0.0,0.0,0.0,,
142,facemasks,"Steelbird SBA-6 7Wings Unisex Helmet Visor Face Shield, Flip-Up Full Face Protector For Each and Everyone (Pack 2)",898.0,799.0,0.0,0.0,0.0,0.0,0.0,,
143,facemasks,WOW Activated Charcoal Face Mask - Peel Off - No Parabens & Mineral Oils (100mL),399.0,345.0,0.0,0.0,0.0,0.0,0.0,,
